time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	1	0	0	1	1	0	0	1
02:15:00	8100	0	0	0	1	0	0	0	1
02:20:00	8400	0	0	0	1	0	0	0	1
02:25:00	8700	0	0	0	1	0	0	0	1
02:30:00	9000	0	1	0	0	0	1	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	1	0	0	1	1	0	0	1
03:00:00	10800	1	0	0	2	1	0	0	2
03:05:00	11100	4	0	0	6	4	0	0	6
03:10:00	11400	0	0	0	6	0	0	0	6
03:15:00	11700	0	2	0	4	0	2	0	4
03:20:00	12000	1	1	0	4	1	1	0	4
03:25:00	12300	0	0	0	4	0	0	0	4
03:30:00	12600	3	0	0	7	3	0	0	7
03:35:00	12900	3	2	0	8	3	2	0	8
03:40:00	13200	2	5	0	5	2	5	0	5
03:45:00	13500	3	2	0	6	3	2	0	6
03:50:00	13800	2	0	0	8	2	0	0	8
03:55:00	14100	1	2	0	7	1	2	0	7
04:00:00	14400	3	0	0	10	3	0	0	10
04:05:00	14700	4	2	0	12	4	2	0	12
04:10:00	15000	4	3	0	13	4	3	0	13
04:15:00	15300	3	5	0	11	3	5	0	11
04:20:00	15600	11	2	0	20	11	2	0	20
04:25:00	15900	6	4	0	22	6	4	0	22
04:30:00	16200	14	7	0	29	14	7	0	29
04:35:00	16500	13	13	0	29	13	13	0	29
04:40:00	16800	13	8	0	34	13	8	0	34
04:45:00	17100	24	14	0	44	24	14	0	44
04:50:00	17400	12	14	0	42	12	14	0	42
04:55:00	17700	8	10	0	40	8	10	0	40
05:00:00	18000	23	15	0	48	23	15	0	48
05:05:00	18300	20	16	0	52	20	16	0	52
05:10:00	18600	19	18	0	53	19	18	0	53
05:15:00	18900	12	13	0	52	12	13	0	52
05:20:00	19200	13	14	0	51	13	14	0	51
05:25:00	19500	15	19	0	47	15	19	0	47
05:30:00	19800	27	16	0	58	27	16	0	58
05:35:00	20100	28	22	0	64	28	22	0	64
05:40:00	20400	25	22	0	67	25	22	0	67
05:45:00	20700	23	16	0	74	23	16	0	74
05:50:00	21000	26	25	0	75	26	25	0	75
05:55:00	21300	25	18	0	82	25	18	0	82
06:00:00	21600	26	21	0	87	26	21	0	87
06:05:00	21900	24	13	0	98	24	13	0	98
06:10:00	22200	31	24	0	105	31	24	0	105
06:15:00	22500	30	28	0	107	30	28	0	107
06:20:00	22800	29	30	0	106	29	30	0	106
06:25:00	23100	25	25	0	106	25	25	0	106
06:30:00	23400	24	27	0	103	24	27	0	103
06:35:00	23700	31	33	0	101	31	33	0	101
06:40:00	24000	29	29	0	101	29	29	0	101
06:45:00	24300	25	24	0	102	25	24	0	102
06:50:00	24600	25	33	0	94	25	33	0	94
06:55:00	24900	36	27	0	103	36	27	0	103
07:00:00	25200	21	27	0	97	21	27	0	97
07:05:00	25500	27	25	0	99	27	25	0	99
07:10:00	25800	36	27	0	108	36	27	0	108
07:15:00	26100	31	20	0	119	31	20	0	119
07:20:00	26400	32	39	0	112	32	39	0	112
07:25:00	26700	36	31	0	117	36	31	0	117
07:30:00	27000	25	29	0	113	25	29	0	113
07:35:00	27300	42	28	0	127	42	28	0	127
07:40:00	27600	24	26	0	125	24	26	0	125
07:45:00	27900	29	30	0	124	29	30	0	124
07:50:00	28200	27	28	0	123	27	28	0	123
07:55:00	28500	24	26	0	121	24	26	0	121
08:00:00	28800	30	18	0	133	30	18	0	133
08:05:00	29100	25	39	0	119	25	39	0	119
08:10:00	29400	31	29	0	121	31	29	0	121
08:15:00	29700	32	32	0	121	32	32	0	121
08:20:00	30000	30	33	0	118	30	33	0	118
08:25:00	30300	24	18	0	124	24	18	0	124
08:30:00	30600	24	33	0	115	24	33	0	115
08:35:00	30900	20	27	0	108	20	27	0	108
08:40:00	31200	28	19	0	117	28	19	0	117
08:45:00	31500	29	35	0	111	29	35	0	111
08:50:00	31800	20	18	0	113	20	18	0	113
08:55:00	32100	23	38	0	98	23	38	0	98
09:00:00	32400	20	14	0	104	20	14	0	104
09:05:00	32700	29	29	0	104	29	29	0	104
09:10:00	33000	17	23	0	98	17	23	0	98
09:15:00	33300	27	25	0	100	27	25	0	100
09:20:00	33600	26	23	0	103	26	23	0	103
09:25:00	33900	29	25	0	107	29	25	0	107
09:30:00	34200	28	26	0	109	28	26	0	109
