hour 	 mean relative error 	 mean absolute bias
1	1000.0	1.0
2	1000.0	1.0
3	1000.0	1.0
4	1000.0	1.0
5	6.266426372306075	-117.5
6	27.209678650246936	1457.0
7	45.890401328858275	1270.5000000000002
8	30.699211650020494	724.0000000000002
9	58.52738168970777	2455.0
10	47.25599975451427	1807.9999999999995
11	1000.0	1.0
12	1000.0	1.0
13	1000.0	1.0
14	1000.0	1.0
15	1000.0	1.0
16	1000.0	1.0
17	1000.0	1.0
18	1000.0	1.0
19	1000.0	1.0
20	1000.0	1.0
21	1000.0	1.0
22	1000.0	1.0
23	1000.0	1.0
24	1000.0	1.0
