time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	2	1	0	1	2	1	0	1
03:00:00	10800	0	1	0	0	0	1	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	1	0	0	1	1	0	0	1
03:35:00	12900	1	1	0	1	1	1	0	1
03:40:00	13200	0	1	0	0	0	1	0	0
03:45:00	13500	1	1	0	0	1	1	0	0
03:50:00	13800	0	0	0	0	0	0	0	0
03:55:00	14100	0	0	0	0	0	0	0	0
04:00:00	14400	3	0	0	3	3	0	0	3
04:05:00	14700	2	0	0	5	2	0	0	5
04:10:00	15000	3	2	0	6	3	2	0	6
04:15:00	15300	1	4	0	3	1	4	0	3
04:20:00	15600	0	1	0	2	0	1	0	2
04:25:00	15900	0	1	0	1	0	1	0	1
04:30:00	16200	11	1	0	11	11	1	0	11
04:35:00	16500	9	5	0	15	9	5	0	15
04:40:00	16800	7	4	0	18	7	4	0	18
04:45:00	17100	12	9	0	21	12	9	0	21
04:50:00	17400	10	7	0	24	10	7	0	24
04:55:00	17700	10	11	0	23	10	11	0	23
05:00:00	18000	18	4	0	37	18	4	0	37
05:05:00	18300	17	10	0	44	17	10	0	44
05:10:00	18600	8	13	0	39	8	13	0	39
05:15:00	18900	12	9	0	42	12	9	0	42
05:20:00	19200	11	11	0	42	11	11	0	42
05:25:00	19500	13	14	0	41	13	14	0	41
05:30:00	19800	29	11	0	59	29	11	0	59
05:35:00	20100	34	20	0	73	34	20	0	73
05:40:00	20400	30	24	0	79	30	24	0	79
05:45:00	20700	28	24	0	83	28	24	0	83
05:50:00	21000	29	23	0	89	29	23	0	89
05:55:00	21300	26	23	0	92	26	23	0	92
06:00:00	21600	32	17	0	107	32	17	0	107
06:05:00	21900	33	20	0	120	33	20	0	120
06:10:00	22200	32	21	0	131	32	21	0	131
06:15:00	22500	28	26	0	133	28	26	0	133
06:20:00	22800	33	31	0	135	33	31	0	135
06:25:00	23100	36	35	0	136	36	35	0	136
06:30:00	23400	25	25	0	136	25	25	0	136
06:35:00	23700	24	40	0	120	24	40	0	120
06:40:00	24000	36	30	0	126	36	30	0	126
06:45:00	24300	29	30	0	125	29	30	0	125
06:50:00	24600	26	28	0	123	26	28	0	123
06:55:00	24900	36	35	0	124	36	35	0	124
07:00:00	25200	29	32	0	121	29	32	0	121
07:05:00	25500	27	26	0	122	27	26	0	122
07:10:00	25800	36	30	0	128	36	30	0	128
07:15:00	26100	29	18	0	139	29	18	0	139
07:20:00	26400	29	28	0	140	29	28	0	140
07:25:00	26700	33	39	0	134	33	39	0	134
07:30:00	27000	25	28	0	131	25	28	0	131
07:35:00	27300	37	23	0	145	37	23	0	145
07:40:00	27600	25	39	0	131	25	39	0	131
07:45:00	27900	31	25	0	137	31	25	0	137
07:50:00	28200	35	36	0	136	35	36	0	136
07:55:00	28500	28	31	0	133	28	31	0	133
08:00:00	28800	30	27	0	136	30	27	0	136
08:05:00	29100	25	29	0	132	25	29	0	132
08:10:00	29400	36	39	0	129	36	39	0	129
08:15:00	29700	27	33	0	123	27	33	0	123
08:20:00	30000	36	29	0	130	36	29	0	130
08:25:00	30300	25	27	0	128	25	27	0	128
08:30:00	30600	32	31	0	129	32	31	0	129
08:35:00	30900	14	25	0	118	14	25	0	118
08:40:00	31200	23	27	0	114	23	27	0	114
08:45:00	31500	30	26	0	118	30	26	0	118
08:50:00	31800	21	28	0	111	21	28	0	111
08:55:00	32100	31	25	0	117	31	25	0	117
09:00:00	32400	32	23	0	126	32	23	0	126
09:05:00	32700	34	15	0	145	34	15	0	145
09:10:00	33000	27	27	0	145	27	27	0	145
09:15:00	33300	21	31	0	135	21	31	0	135
09:20:00	33600	34	29	0	140	34	29	0	140
09:25:00	33900	26	30	0	136	26	30	0	136
09:30:00	34200	28	36	0	128	28	36	0	128
