ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	13898.018419360813	13898.018419360813	13898.018419360813	13898.018419360813
1	13924.240002323146	13900.288013680834	13911.129210841978	13922.036427336809
2	13939.195867762679	13901.904512475148	13919.89638832923	13935.639492925498
3	13948.057250861952	13904.987056163138	13926.949214820459	13945.860462683826
4	13949.76821475473	13904.936884415374	13930.976104716565	13950.035066464348
5	13955.666780236379	13908.50417328948	13934.933024503835	13952.37044953131
6	13954.39478215834	13909.108718223333	13937.325046714865	13953.048594453923
7	13953.937651322989	13911.690230027494	13939.289742855022	13953.464969360688
8	13953.79549154772	13913.499000494354	13941.220134221165	13955.976846940175
9	13953.861984936335	13914.88923443867	13942.5759559546	13954.349675321302
10	13954.741794958405	13918.682185590927	13944.109771937525	13955.048045576536
11	13956.715700057071	13921.806803001757	13946.04477969062	13955.761073818107
12	13957.578937781784	13926.186117464436	13947.676111163593	13953.300309797887
13	13957.109813352785	13928.008150620899	13948.695789097392	13953.087198988358
14	13959.54336927718	13932.555750655958	13950.491273565043	13954.321674130131
15	13962.141772534407	13936.58768807725	13952.261473355895	13954.092813684945
16	13961.270121185868	13940.521605290376	13953.311796758637	13954.206846844387
17	13964.288870461367	13942.05659202031	13954.666593341917	13955.729586982503
18	13962.058360244057	13943.417686489882	13955.329625901024	13954.700308939277
19	13962.736251178794	13946.779197144815	13956.377948179974	13954.762263453133
20	13963.94089648098	13952.753933205264	13957.600116209067	13954.669487582192
21	13961.911287576011	13953.954688942695	13957.995363466236	13955.122336832224
22	13964.370285264982	13956.548720025483	13958.822846962834	13954.33172079651
23	13963.001986230538	13956.49518367194	13959.06548216844	13953.475445884478
24	13961.43794043926	13957.597890637127	13959.201016755462	13952.894301936698
25	13960.517537416146	13956.793787726194	13959.388372635853	13951.464834874732
26	13964.540574878903	13960.494777301072	13959.750174958728	13951.646128277866
27	13961.551905006578	13962.201488867686	13959.826630826907	13952.488441424935
28	13961.91147508349	13960.141054785448	13959.792133875806	13952.751929481088
29	13962.163441617313	13960.555333887747	13959.927448430451	13954.797411236783
30	13962.10116731444	13959.5821251568	13960.083097305804	13954.970704485131
31	13963.696082466151	13960.365524822932	13960.540280458401	13955.923758538382
32	13962.747634274725	13961.278975176949	13960.583744209755	13955.097287566416
33	13962.365442926503	13959.881849827372	13960.917658327866	13954.055434534059
34	13960.248803066499	13962.10920929262	13961.095173512034	13955.024498239456
35	13963.402366101487	13963.446246744177	13961.232812258306	13954.443539020884
36	13962.179037816872	13962.34212546868	13961.27267894946	13954.694037779527
37	13962.710158445227	13963.586306874777	13961.469150932706	13954.432320523589
38	13961.617659573041	13962.694905113036	13961.142823285463	13955.825073921887
39	13960.934043528387	13964.377917654592	13961.320097788452	13955.279048608872
40	13963.132442361972	13963.3987070168	13961.477907338483	13953.731196100342
41	13961.254004387169	13962.62916495047	13961.358850078048	13953.914030322941
42	13962.45271674661	13963.059573225151	13961.397079357017	13954.356942191507
43	13963.155214124366	13960.9458043011	13961.531373558462	13954.203720486716
44	13961.54555033242	13960.668349965472	13961.404145438817	13954.006682483972
45	13964.116721773873	13960.923239745736	13961.66226849626	13954.616164824669
46	13964.925769853779	13962.136463177798	13962.111591258135	13954.830343851223
47	13965.965444956186	13960.797836596465	13962.148325009697	13954.998495160535
48	13964.99304394082	13962.59449011669	13962.305783164764	13954.3051469145
