Iteration	BEGIN iteration	BEGIN replanning	END replanning	BEGIN dump all plans	END dump all plans	BEGIN mobsim	END mobsim	BEGIN compare with counts	END compare with counts	END iteration		replanning	dump all plans	mobsim	compare with counts	iteration
0	11:15:43			11:15:43	11:15:46	11:15:46	11:18:28			11:18:33			00:00:02	00:02:41		00:02:50
1	11:18:33	11:18:33	11:21:29	11:21:29	11:21:32	11:21:32	11:22:28			11:22:31		00:02:56	00:00:02	00:00:56		00:03:58
2	11:22:31	11:22:31	11:24:25			11:24:26	11:25:15			11:25:17		00:01:54		00:00:49		00:02:46
3	11:25:17	11:25:17	11:27:14			11:27:15	11:28:10			11:28:12		00:01:57		00:00:55		00:02:54
4	11:28:12	11:28:12	11:32:05			11:32:05	11:34:15			11:34:19		00:03:52		00:02:10		00:06:07
5	11:34:19	11:34:19	11:38:39			11:38:39	11:40:42			11:40:45		00:04:19		00:02:02		00:06:25
6	11:40:45	11:40:45	11:44:32			11:44:33	11:46:31			11:46:39		00:03:46		00:01:58		00:05:53
7	11:46:39	11:46:39	11:50:25			11:50:26	11:52:13			11:52:18		00:03:46		00:01:47		00:05:39
8	11:52:18	11:52:18	11:56:05			11:56:05	11:58:00			11:58:10		00:03:46		00:01:54		00:05:52
9	11:58:10	11:58:11	12:01:58			12:01:58	12:03:50			12:03:56		00:03:47		00:01:52		00:05:45
10	12:03:56	12:03:56	12:07:33	12:07:34	12:07:44	12:07:44	12:10:34	12:10:57	12:11:16	12:11:20		00:03:37	00:00:10	00:02:49	00:00:18	00:07:24
11	12:11:20	12:11:20	12:15:05			12:15:05	12:17:01			12:17:14		00:03:44		00:01:55		00:05:54
12	12:17:14	12:17:14	12:21:05			12:21:05	12:22:38			12:22:41		00:03:50		00:01:32		00:05:27
13	12:22:41	12:22:41	12:26:34			12:26:34	12:28:37			12:28:42		00:03:52		00:02:02		00:06:00
14	12:28:42	12:28:42	12:32:17			12:32:17	12:33:59			12:34:14		00:03:35		00:01:41		00:05:31
