hour 	 mean relative error 	 mean absolute bias
1	1000.0	1.0
2	1000.0	1.0
3	1000.0	1.0
4	1000.0	1.0
5	3.144625976344832	62.5
6	27.626609435375727	1447.0
7	44.88664734439242	1260.5
8	35.238300821001395	1134.0000000000005
9	48.661510927183336	2034.9999999999995
10	39.01130629085038	1308.0000000000002
11	1000.0	1.0
12	1000.0	1.0
13	1000.0	1.0
14	1000.0	1.0
15	1000.0	1.0
16	1000.0	1.0
17	1000.0	1.0
18	1000.0	1.0
19	1000.0	1.0
20	1000.0	1.0
21	1000.0	1.0
22	1000.0	1.0
23	1000.0	1.0
24	1000.0	1.0
