time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	1	0	0	1	1	0	0	1
02:40:00	9600	0	1	0	0	0	1	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	2	0	0	2	2	0	0	2
03:10:00	11400	0	0	0	2	0	0	0	2
03:15:00	11700	0	0	0	2	0	0	0	2
03:20:00	12000	0	1	0	1	0	1	0	1
03:25:00	12300	0	0	0	1	0	0	0	1
03:30:00	12600	2	0	0	3	2	0	0	3
03:35:00	12900	1	2	0	2	1	2	0	2
03:40:00	13200	0	0	0	2	0	0	0	2
03:45:00	13500	1	1	0	2	1	1	0	2
03:50:00	13800	0	1	0	1	0	1	0	1
03:55:00	14100	1	1	0	1	1	1	0	1
04:00:00	14400	3	1	0	3	3	1	0	3
04:05:00	14700	4	0	0	7	4	0	0	7
04:10:00	15000	4	2	0	9	4	2	0	9
04:15:00	15300	3	5	0	7	3	5	0	7
04:20:00	15600	2	3	0	6	2	3	0	6
04:25:00	15900	0	3	0	3	0	3	0	3
04:30:00	16200	11	3	0	11	11	3	0	11
04:35:00	16500	12	6	0	17	12	6	0	17
04:40:00	16800	8	5	0	20	8	5	0	20
04:45:00	17100	13	9	0	24	13	9	0	24
04:50:00	17400	12	9	0	27	12	9	0	27
04:55:00	17700	11	11	0	27	11	11	0	27
05:00:00	18000	22	5	0	44	22	5	0	44
05:05:00	18300	14	12	0	46	14	12	0	46
05:10:00	18600	13	15	0	44	13	15	0	44
05:15:00	18900	10	9	0	45	10	9	0	45
05:20:00	19200	11	13	0	43	11	13	0	43
05:25:00	19500	14	12	0	45	14	12	0	45
05:30:00	19800	30	12	0	63	30	12	0	63
05:35:00	20100	26	22	0	67	26	22	0	67
05:40:00	20400	28	25	0	70	28	25	0	70
05:45:00	20700	26	14	0	82	26	14	0	82
05:50:00	21000	33	21	0	94	33	21	0	94
05:55:00	21300	22	27	0	89	22	27	0	89
06:00:00	21600	27	23	0	93	27	23	0	93
06:05:00	21900	35	20	0	108	35	20	0	108
06:10:00	22200	32	22	0	118	32	22	0	118
06:15:00	22500	28	24	0	122	28	24	0	122
06:20:00	22800	31	28	0	125	31	28	0	125
06:25:00	23100	34	29	0	130	34	29	0	130
06:30:00	23400	25	32	0	123	25	32	0	123
06:35:00	23700	22	27	0	118	22	27	0	118
06:40:00	24000	38	31	0	125	38	31	0	125
06:45:00	24300	30	29	0	126	30	29	0	126
06:50:00	24600	28	33	0	121	28	33	0	121
06:55:00	24900	34	27	0	128	34	27	0	128
07:00:00	25200	25	24	0	129	25	24	0	129
07:05:00	25500	26	35	0	120	26	35	0	120
07:10:00	25800	37	30	0	127	37	30	0	127
07:15:00	26100	27	21	0	133	27	21	0	133
07:20:00	26400	26	26	0	133	26	26	0	133
07:25:00	26700	32	32	0	133	32	32	0	133
07:30:00	27000	26	32	0	127	26	32	0	127
07:35:00	27300	39	31	0	135	39	31	0	135
07:40:00	27600	26	32	0	129	26	32	0	129
07:45:00	27900	30	34	0	125	30	34	0	125
07:50:00	28200	33	35	0	123	33	35	0	123
07:55:00	28500	26	27	0	122	26	27	0	122
08:00:00	28800	28	27	0	123	28	27	0	123
08:05:00	29100	28	26	0	125	28	26	0	125
08:10:00	29400	40	39	0	126	40	39	0	126
08:15:00	29700	29	30	0	125	29	30	0	125
08:20:00	30000	30	29	0	126	30	29	0	126
08:25:00	30300	26	29	0	123	26	29	0	123
08:30:00	30600	31	34	0	120	31	34	0	120
08:35:00	30900	12	27	0	105	12	27	0	105
08:40:00	31200	24	27	0	102	24	27	0	102
08:45:00	31500	31	22	0	111	31	22	0	111
08:50:00	31800	21	27	0	105	21	27	0	105
08:55:00	32100	33	28	0	110	33	28	0	110
09:00:00	32400	30	20	0	120	30	20	0	120
09:05:00	32700	32	25	0	127	32	25	0	127
09:10:00	33000	28	27	0	128	28	27	0	128
09:15:00	33300	24	31	0	121	24	31	0	121
09:20:00	33600	28	25	0	124	28	25	0	124
09:25:00	33900	29	34	0	119	29	34	0	119
09:30:00	34200	28	23	0	124	28	23	0	124
