hour 	 mean relative error 	 mean absolute bias
1	1000.0	1.0
2	1000.0	1.0
3	1000.0	1.0
4	1000.0	1.0
5	13.166128507421591	-257.5
6	5.189674694310453	266.99999999999955
7	25.76771894727751	770.5
8	38.2035923798882	1784.0000000000005
9	51.87302181056512	1965.0
10	49.41725039263767	1798.0000000000005
11	1000.0	1.0
12	1000.0	1.0
13	1000.0	1.0
14	1000.0	1.0
15	1000.0	1.0
16	1000.0	1.0
17	1000.0	1.0
18	1000.0	1.0
19	1000.0	1.0
20	1000.0	1.0
21	1000.0	1.0
22	1000.0	1.0
23	1000.0	1.0
24	1000.0	1.0
