time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	1	0	0	1	1	0	0	1
01:20:00	4800	0	0	0	1	0	0	0	1
01:25:00	5100	1	1	0	1	1	1	0	1
01:30:00	5400	0	0	0	1	0	0	0	1
01:35:00	5700	0	0	0	1	0	0	0	1
01:40:00	6000	0	0	0	1	0	0	0	1
01:45:00	6300	0	1	0	0	0	1	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	1	0	0	1	1	0	0	1
02:10:00	7800	1	0	0	2	1	0	0	2
02:15:00	8100	1	1	0	2	1	1	0	2
02:20:00	8400	1	1	0	2	1	1	0	2
02:25:00	8700	0	0	0	2	0	0	0	2
02:30:00	9000	1	0	0	3	1	0	0	3
02:35:00	9300	1	0	0	4	1	0	0	4
02:40:00	9600	0	1	0	3	0	1	0	3
02:45:00	9900	5	3	0	5	5	3	0	5
02:50:00	10200	6	2	0	9	6	2	0	9
02:55:00	10500	7	6	0	10	7	6	0	10
03:00:00	10800	6	1	0	15	6	1	0	15
03:05:00	11100	9	4	0	20	9	4	0	20
03:10:00	11400	7	11	0	16	7	11	0	16
03:15:00	11700	8	5	0	19	8	5	0	19
03:20:00	12000	6	9	0	16	6	9	0	16
03:25:00	12300	15	5	0	26	15	5	0	26
03:30:00	12600	6	9	0	23	6	9	0	23
03:35:00	12900	11	4	0	30	11	4	0	30
03:40:00	13200	18	15	0	33	18	15	0	33
03:45:00	13500	10	5	0	38	10	5	0	38
03:50:00	13800	16	12	0	42	16	12	0	42
03:55:00	14100	32	14	0	60	32	14	0	60
04:00:00	14400	26	20	0	66	26	20	0	66
04:05:00	14700	41	30	0	77	41	30	0	77
04:10:00	15000	34	24	0	87	34	24	0	87
04:15:00	15300	43	27	0	103	43	27	0	103
04:20:00	15600	47	39	0	111	47	39	0	111
04:25:00	15900	49	31	0	129	49	31	0	129
04:30:00	16200	112	53	0	188	112	53	0	188
04:35:00	16500	129	65	0	252	129	65	0	252
04:40:00	16800	125	71	0	306	125	71	0	306
04:45:00	17100	119	96	0	329	119	96	0	329
04:50:00	17400	137	121	0	345	137	121	0	345
04:55:00	17700	121	120	0	346	121	120	0	346
05:00:00	18000	144	122	0	368	144	122	0	368
05:05:00	18300	146	120	0	394	146	120	0	394
05:10:00	18600	154	133	0	415	154	133	0	415
05:15:00	18900	160	152	0	423	160	152	0	423
05:20:00	19200	146	148	0	421	146	148	0	421
05:25:00	19500	165	166	0	420	165	166	0	420
05:30:00	19800	252	148	0	524	252	148	0	524
05:35:00	20100	281	166	0	639	281	166	0	639
05:40:00	20400	279	217	0	701	279	217	0	701
05:45:00	20700	291	241	0	751	291	241	0	751
05:50:00	21000	283	247	0	787	283	247	0	787
05:55:00	21300	299	268	0	818	299	268	0	818
06:00:00	21600	258	276	0	800	258	276	0	800
06:05:00	21900	303	287	0	816	303	287	0	816
06:10:00	22200	318	273	0	861	318	273	0	861
06:15:00	22500	280	299	0	842	280	299	0	842
06:20:00	22800	269	289	0	822	269	289	0	822
06:25:00	23100	271	246	0	847	271	246	0	847
06:30:00	23400	296	303	0	840	296	303	0	840
06:35:00	23700	286	277	0	849	286	277	0	849
06:40:00	24000	275	285	0	839	275	285	0	839
06:45:00	24300	288	294	0	833	288	294	0	833
06:50:00	24600	293	293	0	833	293	293	0	833
06:55:00	24900	304	296	0	841	304	296	0	841
07:00:00	25200	296	295	0	842	296	295	0	842
07:05:00	25500	294	288	0	848	294	288	0	848
07:10:00	25800	309	280	0	877	309	280	0	877
07:15:00	26100	308	311	0	874	308	311	0	874
07:20:00	26400	327	305	0	896	327	305	0	896
07:25:00	26700	273	321	0	848	273	321	0	848
07:30:00	27000	291	279	0	860	291	279	0	860
07:35:00	27300	276	304	0	832	276	304	0	832
07:40:00	27600	276	271	0	837	276	271	0	837
07:45:00	27900	298	287	0	848	298	287	0	848
07:50:00	28200	280	295	0	833	280	295	0	833
07:55:00	28500	292	297	0	828	292	297	0	828
08:00:00	28800	308	289	0	847	308	289	0	847
08:05:00	29100	295	286	0	856	295	286	0	856
08:10:00	29400	283	291	0	848	283	291	0	848
08:15:00	29700	281	269	0	860	281	269	0	860
08:20:00	30000	333	287	0	906	333	287	0	906
08:25:00	30300	293	319	0	880	293	319	0	880
08:30:00	30600	250	300	0	830	250	300	0	830
08:35:00	30900	299	280	0	849	299	280	0	849
08:40:00	31200	296	273	0	872	296	273	0	872
08:45:00	31500	262	313	0	821	262	313	0	821
08:50:00	31800	274	280	0	815	274	280	0	815
08:55:00	32100	256	288	0	783	256	288	0	783
09:00:00	32400	256	271	0	768	256	271	0	768
09:05:00	32700	261	278	0	751	261	278	0	751
09:10:00	33000	228	233	0	746	228	233	0	746
09:15:00	33300	244	255	0	735	244	255	0	735
09:20:00	33600	241	259	0	717	241	259	0	717
09:25:00	33900	238	241	0	714	238	241	0	714
09:30:00	34200	218	259	0	673	218	259	0	673
